Airfoil_Code,M,P,T,CL,CD
0005,0,0,5,-0.0001,0.00448
0006,0,0,6,0.0026,0.00477
0007,0,0,7,-0.0009,0.00513
0008,0,0,8,-0.001,0.00521
0009,0,0,9,0.0006,0.0053
0010,0,0,10,0.0003,0.0055
0011,0,0,11,-0.0018,0.00581
0012,0,0,12,0.0001,0.00617
0013,0,0,13,0.0,0.00654
0014,0,0,14,-0.0009,0.00694
0015,0,0,15,0.0037,0.00731
0016,0,0,16,-0.0005,0.00769
0017,0,0,17,-0.0015,0.00802
0018,0,0,18,0.0002,0.00841
0019,0,0,19,0.0005,0.00873
0020,0,0,20,-0.0002,0.00906
0021,0,0,21,-0.0001,0.00944
0022,0,0,22,-0.0007,0.00978
0023,0,0,23,-0.0005,0.0101
0024,0,0,24,-0.001,0.01043
0025,0,0,25,-0.0013,0.01077
0026,0,0,26,-0.0,0.01112
0027,0,0,27,-0.0015,0.01148
0028,0,0,28,-0.002,0.01184
0029,0,0,29,-0.0019,0.01223
0030,0,0,30,-0.0017,0.01263
0031,0,0,31,-0.0017,0.01307
0032,0,0,32,-0.0194,0.01351
0033,0,0,33,-0.0013,0.01387
0034,0,0,34,-0.0013,0.01427
0035,0,0,35,-0.0014,0.01472
0036,0,0,36,-0.0011,0.01521
0037,0,0,37,-0.0008,0.01575
0038,0,0,38,-0.0006,0.01632
0039,0,0,39,-0.0003,0.01692
0105,0,1,5,-0.0001,0.00448
0106,0,1,6,0.0026,0.00477
0107,0,1,7,-0.0009,0.00513
0108,0,1,8,-0.001,0.00521
0109,0,1,9,0.0006,0.0053
0110,0,1,10,0.0003,0.0055
0111,0,1,11,-0.0018,0.00581
0112,0,1,12,0.0001,0.00617
0113,0,1,13,0.0,0.00654
0114,0,1,14,-0.0009,0.00694
0115,0,1,15,0.0037,0.00731
0116,0,1,16,-0.0005,0.00769
0117,0,1,17,-0.0015,0.00802
0118,0,1,18,0.0002,0.00841
0119,0,1,19,0.0005,0.00873
0120,0,1,20,-0.0002,0.00906
0121,0,1,21,-0.0001,0.00944
0122,0,1,22,-0.0007,0.00978
0123,0,1,23,-0.0005,0.0101
0124,0,1,24,-0.001,0.01043
0125,0,1,25,-0.0013,0.01077
0126,0,1,26,-0.0,0.01112
0127,0,1,27,-0.0015,0.01148
0128,0,1,28,-0.002,0.01184
0129,0,1,29,-0.0019,0.01223
0130,0,1,30,-0.0017,0.01263
0131,0,1,31,-0.0017,0.01307
